,comment
0,我的头像。。。
1,这是近期看的几个元宇宙视频讲的最好的一个
2,苹果一个vr做了快十年了
3,无处可逃
4,比特宇宙？
5,线上空间，接入游戏。？！
6,元宇宙：一家公司垄断整个世界。
7,宝藏博主
8,Decentraland可以买土地
9,邮箱工具是Spark
10,eth
11,归根到底还是进化版的网游
12,那是另外的价格
13,备课用心了
14,就是吞噬星空里的战神宫
15,区块链
16,现实世界和虚拟世界
17,有意思
18,互联网不就是元宇宙
19,是谁抛下了谁
20,黑客帝国
21,元宇宙不仅仅是一个游戏啊，是工作生活娱乐的世界
22,无敌破坏王是不是迪士尼元宇宙
23,我们的世界要提升纬度了
24,这衣服就很元宇宙
25,国内现在是“吹宇宙”
26,中国简直就是魔幻了
27,不愧是新传
28,可以把货币带来的同质化消除
29,好文案
30,不要太多，几亿人在一起就很可观了
31,赞，启蒙了，加油元宇宙，我的梦想。
32,我觉得现在不叫元宇宙
33,战锤30k为您点赞
34,sandbox
35,maga??!
36,和我的世界有啥区别？
37,对，像我就基本上不玩游戏，偶尔下下棋。
38,然后现在只是炒作
39,按这个说法，合着中国就与元宇宙无缘了呗
40,看到这个就知道不靠谱了
41,ohh
42,这不就是崽崽的那种交互么
43,像刀剑神域那样呗
44,区块链来了
45,腾讯
46,腾讯
47,赛博朋克！
48,走向骇客帝国
49,极致的去实向虚
50,Quest2玩起来还是太晕了，而且太重
51,那麼，代價是什麼呢
52,十年
53,然而根本沒有實現的東西
54,藍圖
55,每天都在干什么呢
56,《头号玩家》
57,优秀
58,腾讯：黎明计划启动
59,例如比特币
60,刀剑神域不远了
61,还有地虎侠
62,快个Der喔显卡都没有，还元宇宙
63,这不就是乐高世界吗
64,quest1用户哇的一下哭出声
65,简单概括：元宇宙就是”刀剑神域”
66,简单概括：元宇宙就是”刀剑神域”
67,不是5g换个壳子嘛？
68,好美啊
69,地球OL
70,地球online
71,美股空心化的产物
72,技术与想象
73,电力有限
74,姐姐好好看
75,鹅宇宙
76,求同款眼镜
77,A刀剑神域
78,升华了
79,Avatar
80,鸿蒙糸统加油呀！
81,哈哈哈哈
82,ue5
83,美的很
84,《黑客帝国》
85,谢谢小宁老师～
86,求同款眼镜
87,..0
88,哈哈哈哈哈
89,哈哈哈哈哈哈哈
90,赛博朋克
91,快了
92,爷青回
93,好好看啊
94,(⊙o⊙)哇好美
95,严谨！
96,哈哈
97,是
98,有理有据
99,真绷不住了！！
100,眼镜也好看
101,眼睛好看
102,阿尔罕布拉宫的回忆
103,元宇宙=融入UGC交易的开放世界游戏，就是互联网
104,元宇宙纪元
105,众生之门
106,11月ba14号，已经600亿美元了
107,好家伙300eth
108,三连啦
109,曙光计划，蚌埠住了
110,是
111,不错
112,随时准备着翻译：新建文件夹
113,信用
114,中青宝：直接报我代码得了
115,哈哈哈哈
116,失踪人口回归
117,dota2蚌埠住了
118,666
119,热乎
120,战术抬镜
121,格局
122,不错的总结
123,眼镜好看！
124,哇 戴眼镜好漂亮
125,这很元宇宙
126,哈哈哈哈
127,小札可还行
128,哈哈哈哈哈哈哈
129,燃燒小宇宙
130,真正网上约架，直接能打起来（doge）
131,企鹅：正在致力于收割创作用户
132,元宇宙+元币+元人
133,第一次听懂元宇宙
134,哈哈哈哈哈好贴切
135,metaverse
136,woo！
137,这一期好有深度啊
138,还有十年
139,第三种是以太坊
140,戴眼镜御姐范
141,优秀
142,格局
143,dota2
144,以后双十一就是带上VR眼镜逛虚拟街道和商场超市
145,曲率驱动
146,多乐普斯！
147,哈哈哈哈哈哈哈哈
148,格局
149,哈哈哈
150,新概念=新坑
151,赞同
152,元宇宙.bate
153,好看！！！！！
154,终于更新了
155,终于更新啦！
156,升华了
157,维纪元
158,超元域
159,三连了
160,格局
161,升华了
162,好家伙，房产都开发到数字世界里了
163,小宁子太好看啦
164,赛博空间
165,今天的小宁子也很好看
166,赞同
167,哈哈哈哈
168,完了
169,好美
170,《格局》
171,意识上传
172,！！！
173,好可爱的名字
174,哇！惊艳了！
175,k
176,可可爱爱
177,小宁子太好看了！
178,过于真实
179,我来啦
180,区块链区块链
181,头号玩家
182,就是虚拟世界
183,血崩
184,鸿蒙糸统最终版
185,我的世界vr版本
186,雪崩能天使
187,小扎哈哈哈哈哈哈
188,3D摩尔庄园？
189,头号玩家？
190,刀剑神域
191,確實
192,没有法律
193,没意思，再过40年吧
194,哈哈哈哈哈哈哈梭哈
195,快了
196,好开
197,姐姐好好看
198,好漂亮
199,期待
200,66
201,好美啊
202,哈哈
203,元宇宙
204,味对了
205,造型好评
206,热乎
207,小寧子好美
208,深度赞同
209,哈哈哈哈
210,up好好看
211,赞同
212,+
213,哈哈哈
214,雪崩yyds
215,这太好看了
216,元宇宙
