,comment
0,心疼
1,Don’t save money go buy a new phone
2,my grandchild only three years old 
3,broadcast voice ： learn how to facetime for free
4,硬核佩奇
5,真实   突然懂了老年人的做法
6,开门!查水表!
7,就是粉红色的口哨儿
8,我这个寒假一定要回去看爷爷qwq
9,恭喜你，伤痛了基友的心
10,真香定律果然逃不掉
11,这老爷爷不是专业演员，但是却比所谓的演员好的不止一个档次
12,底端字幕翻译辛苦了
13,底端英文翻译好评
14,Are you kid me?
15,w t f 你认真的吗
16,给孩子玩的模型机（玩具）
17,老人特有傲娇
18,想我爷爷.......一年才见得一次，老人家还活着怎么舍得不回家
19,鲁F，烟台的
20,要是我爷爷能让我见一面就好了
21,？？？？不回来了？怎么这样？
22,好兄弟啊哈哈哈哈
23,未来的工作希望能离父母近一点
24,名字居然和我差不多 可怕
25,候国玉给你愉悦送走咯！
26,孙子内心炸裂:“我爷爷真牛逼”
27,大爷你怎么骂人呢
28,你在想着诗和远方还有父母在家中守望
29,关电视是因为电视里明明说了回家很方便，跟佩奇没关系
30,关电视是因为电视里明明说回家很方便，跟佩奇没关系
31,巧了，我今年才14，爷爷奶奶两口子都见不上了
32,一点都不圆润
33,干干巴巴的
34,有的老人真的一年就等着这么一次呢，泪目
35,是你！朱广权！！！
36,你们没当过小孩？一群上帝视角
37,我们家的铁门也是绿色的鸭
38,东花园口音，百度一下
39,顾客需求
40,卧槽硬核！
41,下面红字语法错误，时态用错了，宾语从句还没陈述语序
42,这年纪的会用手机就不错了
43,你爷爷永远是你爷爷
44,i carry you to the city to have spring festival
45,yes，only she knows
46,calm down.tell me now!
47,Do you wanna aphone
48,歪日，这演技神了啊！
49,他肯定是想给孙子一个惊喜啊，告诉爹妈了还什么惊喜啊
50,，想起来以前央视一个公益广告啊，老太太在家做一桌菜等孩子回家
51,狗子：？？？
52,不是信号的问题 其他人的手机上网利索的很
53,泪目
54,孩子们，准备打脸吧
55,我听不见！准备好了船长！哦——
56,纠正一下字幕君，佩奇是Petch
57,也不动脑子想想，人家老人看电视会去看动画片吗？
58,不回来也有自己的原因啊 现在的生活选择余地这么少
59,My video ringtone is Paige 
60,"No,I mean, I'm taking you to the city for the new year "
61,这是移动视频佩齐彩铃的广告，我们这边已经可以订这个业务了
62,你们居然不知道佩奇的原名，人家叫peppa呀…
63,When will you get back?
64,心疼了
65,……唉
66,硬核佩奇
67,佩琪就是鼻子长额头上，眼睛长一边的猪
68,硬核佩奇警告
69,硬核佩奇警告
70,硬核佩奇警告
71,社会人佩奇
72,问为什么不再打一个电话的，前面没看到老爷爷说天线掉了吗
73,前方打脸高能
74,唢呐吹的是佩奇中场音乐
75,爷爷:首先排除电视里有佩琪
76,还得挑一个母的
77,8848钛金手机
78,甲方
79,大晚上的哎呀
80,乐器届的流氓：唢呐
81,老爷子性格犟，这才真实
82,拍摄地:河北省张家口市怀来县
83,这段还可以做鬼畜用
84,唢呐开始注入灵魂
85,硬核佩奇
86,太真实了吧。。我小时候接到老家爷爷奶奶电话就这么回答的。。
87,好心酸
88,%#@~!@#%
89,to buy one for yourself and search it
90,爷爷在笑，他要装严肃
91,大爷看电视也不可能看少儿频道啊
92,那个我姥姥就看一个台
93,笑着笑着就哭了
94,现在就住在爸妈隔壁的小区，很知足
95,别让等待成为遗憾
96,产品经理和程序员之间的对话
97,老人家不会触屏手机有部分
98,难受╯﹏╰
99,但是上面写的是鲁F啊。。。
100,没看到最后我都以为是移动的广告……
101,脸盆架跟我姥姥家一样的
102,承德的等会！！！带上我！！
103,要是我爷爷对我这么好就好了
104,朋克风的小猪佩琪
105,和我外公外婆一样，来到家之后一包一包的都是他们从家里带来的菜和水果
106,眼泪你为什么要留下来
107,我有点想哭了
108,反向春运哈哈哈
109,这爷爷真好，感动
110,Do you think this will do 
111,"Yeah, she know it"
112,I won't tell you. 
113,When do you come back?
114,英语字幕君上线
115,我的记忆里已经没有多少我爷爷的位置了……
116,淦！！！
117,合着就是移动的广告
118,这一段可以减下来做电音
119,鼻子张头上了
120,心酸
121,吴佩孚
122,小卖部买手机，厉害
123,少一秒？你在暗示我月。。。。。
124,为什么那个人能看直播有信号
125,想想你们自己，你们父母是怎么对待老人的
126,张家口方言啊
127,盘他
128,什么冬梅啊
129,诶大爷你别骂人啊
130,这个小卖部有点厉害了，还能卖手机
131,￥＃＊
132,哈哈哈哈保定的车好亲切
133,阿阿阿！快回去
134,猪：？？？
135,邦邦邦男士健身公司杨总
136,张家口的口蘑真的好吃
137,别扛了，我家电视4个台，收不到播小猪佩奇的
138,朋克风·佩琪:蒸汽时代
139,说牌牌琦的是个狠人
140,这个拿手机看的细节太棒了
141,这爷爷真好
142,我……从小就没有爷爷
143,来自警察叔叔的警告
144,这一段有点大象席地而坐的感觉
145,关弹幕保智商
146,暗♂黑dark♂为
147,粗鄙之语
148,想上去打人
149,不孝啊，给老爹换手机啊
150,心疼
151,头文字D
152,收藏投币重看一条龙
153,想爷爷，但是他已经不在了
154,突然明白简介的意思了
155,心酸的爷爷，无私的爱
156,这不只是小卖部，是移动村级服务站
157,哎
158,原来是吹风机啊
159,看到这里，突然感叹，过年回家吧！
160,该换手机了
161,这小孩什么人！
162,抱抱
163,standing by
164,老人反倒喜欢在村子里住。有老人聊天，又清静
165,什么人吗
166,心疼老爷子
167,神之唢呐
168,其实我觉得大爷生活有了一个要追求的目标也很有趣的
169,哈哈哈哈哈这才是重点
170,爹也是猪娘也是猪哈哈哈哈哈
171,昨天刚回老家帮爷爷和外公一起杀羊
172,佟大为。。
173,天天回来的我也是hhhhhh
174,大象席地而坐，地球的最后夜晚   里的BGM，哭了T﹏T
175,各位同学请注意了，这剧的观后感可能要写作文
176,前面的，怀来，赤城方言就这样，他中间加了普通话
177,哄不好了233333
178,唢呐（疯狂暗示）:问我问我
179,熊孩子我在场直接就一断子绝孙脚
180,硬核佩奇
181,硬核工业风佩奇
182,我就没见过
183,大象席地而坐bgm!!!好评
184,我爷爷也这么好的，可惜已经离开十多年了555
185,hhh好可爱
186,《小猪佩奇》我妹妹喜欢看的动画片哈哈
187,硬核佩琪
188,硬核佩奇，我喜欢
189,移动广告吧～
190,关掉电视是为了更快的听到家人回来的声音
191,硬核佩奇
192,一     转     攻     势
193,硬核佩奇
